taxon_name,random_forest_m1,xgboost_m1,random_forest_m2,xgboost_m2,random_forest_m3,xgboost_m3,random_forest_m4,xgboost_m4
Microtus richardsoni,0.11697409188970709,0.10930539412191936,0.392538208080937,0.3934215889945972,0.5838927429544039,0.5110578244143344,0.48575978050493407,0.6420393615829579
Millardia meltada,0.25532988467101975,0.26715261796918105,0.9943714168461679,0.8342435432020419,0.7207791086881433,0.872600397252469,0.9872449089972668,0.8328183762306848
Mimas tiliae,0.21042174951088738,0.251339490559993,0.41469913610284803,0.44403198115519743,0.4289567755811149,0.4459166106769023,0.5134778702995618,0.5829713561103366
Misgurnus fossilis,0.23438544768293815,0.16759257528290855,0.7423280864002734,0.7292490822705491,0.838994707847178,0.98078994199956,0.6940379163012758,0.8657757552260033
Muscardinus avellanarius,0.06046995489534554,0.0507968121594939,0.5889615377616123,0.41288000211841835,0.6535455365294925,0.5395206637572026,0.5701281835525696,0.651627579931089
Myiarchus crinitus,0.16936405386640876,0.22307495671942235,0.5216782152703999,0.4835374326331463,0.9625783426169564,0.9366297561074621,0.9169277398109934,0.9767854769604317
Myocastor coypus,0.2537517619201212,0.3999680243422853,0.2780987571350738,0.3583286022622095,0.36464757855413227,0.528764599875334,0.3320985075486299,0.46267768753704397
Myodes rutilus,0.12762663457070555,0.18911327144043594,0.48146834783269926,0.363822984129495,0.5367427759349609,0.5063935341218216,0.37551174954541944,0.26224955218580714
Myopus schisticolor,0.11666592524354912,0.12516166859618771,0.20242947777538664,0.20729333029256058,0.3033516980422447,0.3658880399482016,0.20054924188012846,0.24455410407258396
Myotis velifer,0.9829472862945137,0.7490968584819879,0.45874037200031287,0.3794328364982478,0.27957236143775405,0.2809670154623654,0.43659310094045395,0.31549131454949214
Myoxocephalus octodecemspinosus,0.22432908435330534,0.22044647581915505,0.7610232818481305,0.7974741198679202,0.7719792370913938,0.7920944174947849,0.772721005180163,0.7838884224713574
Myrmecobius fasciatus,0.3332150121161355,0.29902462202937485,0.7003148945192286,0.6678512727693903,0.6147372077945985,0.5622503188521235,0.6548386500815202,0.5265017323342306
Nannobrachium regale,0.007528177292129662,0.009849122380458255,0.16598564291817963,0.1460701817401638,0.15060139332792857,0.17037403553197233,0.2053811845603776,0.3237998293565652
Natalus tumidirostris,0.1738424468709284,0.08174282653668019,0.5619725779719225,0.2740969982692539,0.6489106890813313,0.9220018843907916,0.7533174490694723,0.6996313295927682
Naucrates ductor,0.12450895673489305,0.16677611536973644,0.35676302151974604,0.31851416121851217,0.26136916238723673,0.3034391527199028,0.2990486517815497,0.3844290481868189
Nauphoeta cinerea,0.9591273758966671,0.9214369827133395,0.9069137659337949,0.9440844641626425,0.8420933133236497,0.8363890173013415,0.9688057413051309,0.7933382382329243
Nectarinia tacazze,0.055480855030851844,0.04565396064622524,0.11217636657613525,0.15156049483835426,0.3884063687906888,0.42837264129455216,0.38917596966770734,0.42265772940175994
Neochmia temporalis,0.14272766981420248,0.10358455562488039,0.6640977649003079,0.8936595319672704,0.8695418201279503,0.9158358580202663,0.8390222512185317,0.9914197855009478
Neofiber alleni,0.1481927448419055,0.16687722960432377,0.4321577000737705,0.5048255608479989,0.7341574038170487,0.8021420205672818,0.3814927734946978,0.5359183461039172
Neomys fodiens,0.09825323120869478,0.08423483278736148,0.4040056279076301,0.40562411528771314,0.5200386695742718,0.5618113801039863,0.2706420724183243,0.3695869903156243
