pipeline,split,model,algo,params,train_R2_mean,train_R2_sd,train_RMSE_mean,train_RMSE_sd,test_R2_mean,test_R2_sd,test_RMSE_mean,test_RMSE_sd
avg,random,m2,xgb,"{'n_estimators': 200, 'max_depth': 6, 'learning_rate': 0.05}",0.9333625105910993,0.0011868077887110262,0.395307858220798,0.002091386616838247,0.8796057113082627,0.007757847803525336,0.5295964933523856,0.015681364203592417
avg,random,m2,xgb,"{'n_estimators': 200, 'max_depth': 6, 'learning_rate': 0.1}",0.9405076442565405,0.001282911386452139,0.37350184597650815,0.0023436524933683578,0.8760568807982925,0.006500768576811145,0.5374183163019189,0.010674495381254015
avg,random,m2,xgb,"{'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.05}",0.9217468784785176,0.0013183807787401796,0.42838048737790285,0.002081226005564852,0.8919127420962074,0.008009346276889644,0.5016557539329555,0.015844797479928036
avg,random,m2,xgb,"{'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.1}",0.9286953217740106,0.001345670397451963,0.4089109408106754,0.0017524479089869227,0.8890813756814208,0.007467251785798622,0.5081979538129591,0.011383586252097722
avg,random,m2,xgb,"{'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.05}",0.9288616877220758,0.0011391281479815546,0.4084443650080476,0.0018611467407646557,0.8887829169946834,0.0076601851945968845,0.5089187602812681,0.014411023599686152
avg,random,m2,xgb,"{'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.1}",0.9351960762325415,0.0012673350536040687,0.3898257998850048,0.0022454615710859717,0.8843980475311211,0.0073906843800716875,0.5188751072835609,0.011794464118402598
avg,random,m2,xgb,"{'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.05}",0.9380817241017978,0.0011980956867135187,0.38104854664655885,0.0022072042010002797,0.8779511090098389,0.007276118035862316,0.5332396793084473,0.013165609504116625
avg,random,m2,xgb,"{'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.1}",0.9429932881192581,0.0014163504491557972,0.3656080314952431,0.003139594095117903,0.8720368110055056,0.006377865873148119,0.5460668415546035,0.008885509794325912
avg,random,m2,rf,"{'n_estimators': 300, 'max_depth': 6, 'min_samples_leaf': 1}",0.9280255987947701,0.0017585327249867596,0.4108217858106098,0.0043726650506046814,0.8896712298561782,0.010018590737172582,0.5066510523382844,0.01959493153295757
avg,random,m2,rf,"{'n_estimators': 300, 'max_depth': 6, 'min_samples_leaf': 3}",0.9242111334824836,0.001895947963541313,0.4215672181121725,0.004757205917422287,0.8893287051938212,0.009526521215179658,0.5075619787400085,0.020396771441323635
