taxon_name,wet_Mass_kg,temperature,pc1,pc2,pc3,pc4,pc5,BMR
Austrothelphusa transversa,0.03,20.0,-10458.12382021576,512.5326886491047,18.32469209441382,-0.1056981956429414,-0.1319724587422514,0.004443
Callinectes sapidus,0.1341,20.0,-10458.12382021576,512.5326886491047,18.32469209441382,-0.1056981956429414,-0.1319724587422514,0.09203283
Callinectes sapidus,0.1424,20.0,-10458.12382021576,512.5326886491047,18.32469209441382,-0.1056981956429414,-0.1319724587422514,0.08172336
Coenobita compressus,0.0037,20.0,-10458.12382021576,512.5326886491047,18.32469209441382,-0.1056981956429414,-0.1319724587422514,0.00404632
Menippe mercenaria,0.0316,20.0,-10458.12382021576,512.5326886491047,18.32469209441382,-0.1056981956429414,-0.1319724587422514,0.00547312
Oplophorus spinosus,0.00292,10.0,-10458.12382021576,512.5326886491047,18.32469209441382,-0.1056981956429414,-0.1319724587422514,0.005219792
Pachygrapsus marmoratus,0.000152,20.0,-10458.12382021576,512.5326886491047,18.32469209441382,-0.1056981956429414,-0.1319724587422514,0.000106324
Pachygrapsus marmoratus,0.00323,20.0,-10458.12382021576,512.5326886491047,18.32469209441382,-0.1056981956429414,-0.1319724587422514,0.002769079
Pachygrapsus marmoratus,0.0044,20.0,-10458.12382021576,512.5326886491047,18.32469209441382,-0.1056981956429414,-0.1319724587422514,0.00525184
Pachygrapsus marmoratus,0.00777,20.0,-10458.12382021576,512.5326886491047,18.32469209441382,-0.1056981956429414,-0.1319724587422514,0.005371401
Pachygrapsus marmoratus,0.0147,20.0,-10458.12382021576,512.5326886491047,18.32469209441382,-0.1056981956429414,-0.1319724587422514,0.00851277
Palaemon adspersus,0.0001,20.0,-10458.12382021576,512.5326886491047,18.32469209441382,-0.1056981956429414,-0.1319724587422514,0.00035702
Palaemon adspersus,0.00328,20.0,-10458.12382021576,512.5326886491047,18.32469209441382,-0.1056981956429414,-0.1319724587422514,0.005506136
Panopeus herbstii,0.01,20.0,-10458.12382021576,512.5326886491047,18.32469209441382,-0.1056981956429414,-0.1319724587422514,0.00411
Scylla serrata,0.0005,20.0,-10458.12382021576,512.5326886491047,18.32469209441382,-0.1056981956429414,-0.1319724587422514,0.00157885
Scylla serrata,0.001,20.0,-10458.12382021576,512.5326886491047,18.32469209441382,-0.1056981956429414,-0.1319724587422514,0.002523
Scylla serrata,0.002,20.0,-10458.12382021576,512.5326886491047,18.32469209441382,-0.1056981956429414,-0.1319724587422514,0.0038082
Scylla serrata,0.003,20.0,-10458.12382021576,512.5326886491047,18.32469209441382,-0.1056981956429414,-0.1319724587422514,0.0049983
Scylla serrata,0.00358,20.0,-10458.12382021576,512.5326886491047,18.32469209441382,-0.1056981956429414,-0.1319724587422514,0.006920856
Xantho hydrophilus,0.000906,20.0,-10458.12382021576,512.5326886491047,18.32469209441382,-0.1056981956429414,-0.1319724587422514,0.0006941772
Xantho hydrophilus,0.0025,20.0,-10458.12382021576,512.5326886491047,18.32469209441382,-0.1056981956429414,-0.1319724587422514,0.001317
Xantho hydrophilus,0.00306,20.0,-10458.12382021576,512.5326886491047,18.32469209441382,-0.1056981956429414,-0.1319724587422514,0.00153918
Xantho hydrophilus,0.0039,20.0,-10458.12382021576,512.5326886491047,18.32469209441382,-0.1056981956429414,-0.1319724587422514,0.00211848
Xantho hydrophilus,0.0058,20.0,-10458.12382021576,512.5326886491047,18.32469209441382,-0.1056981956429414,-0.1319724587422514,0.0022927399999999
Xantho hydrophilus,0.0062,20.0,-10458.12382021576,512.5326886491047,18.32469209441382,-0.1056981956429414,-0.1319724587422514,0.00299894
Xantho hydrophilus,0.00831,20.0,-10458.12382021576,512.5326886491047,18.32469209441382,-0.1056981956429414,-0.1319724587422514,0.002737314
Xantho hydrophilus,0.0136999999999999,20.0,-10458.12382021576,512.5326886491047,18.32469209441382,-0.1056981956429414,-0.1319724587422514,0.0054197199999999
Danio rerio,0.001,24.0,6350.938309574817,5429.685073005452,87.41299257444702,126.69538964312966,4.046717557545902,0.0023888888888888
Esox lucius,1.291,15.0,4408.74512920855,-2906.1186071712946,660.7599276629672,-28.00844500646325,-64.78428352840908,0.7562222222222222
Gadus morhua,1.42,5.0,6350.938309574817,5429.685073005452,87.41299257444702,126.69538964312966,4.046717557545902,0.8845555555555555
Gasterosteus aculeatus,0.003,13.5,4408.74512920855,-2906.118607171294,660.7599276629663,-28.00844500646529,-64.7842835284049,0.0318333333333333
Leporinus fasciatus,0.004,25.0,6350.938309574817,5429.685073005452,87.41299257444702,126.69538964312966,4.046717557545902,0.0076666666666666
Oncorhynchus mykiss,1.2,9.8,4408.74512920855,-2906.118607171294,660.7599276629663,-28.00844500646819,-64.78428352840157,2.0437777777777777
Oncorhynchus tshawytscha,0.37,9.5,4408.74512920855,-2906.118607171294,660.7599276629663,-28.008445006465305,-64.78428352840488,0.6746111111111112
Acipenser transmontanus,0.95,15.0,6350.938309574817,5429.685073005452,87.41299257444702,126.69538964312966,4.046717557545902,0.01805
