taxon_name
Acanthorhynchus tenuirostris
Manorina flavigula
Acanthagenys rufogularis
Meliphaga lewinii
Malurus lamberti
Malurus cyaneus
Centropus senegalensis
Cuculus canorus
Cacomantis variolosus
Anas acuta
Anas crecca
Aythya nyroca
Aythya ferina
Aythya fuligula
Netta rufina
Coturnix pectoralis
Coturnix japonica
Alectoris chukar
Callipepla gambelii
Callipepla californica
Terrapene ornata
Chelydra serpentina
Protopterus annectens
Myxine glutinosa
Ichthyomyzon fossor
Petromyzon marinus
Lampetra fluviatilis
Lampetra planeri
Dermacentor andersoni
Ornithodoros moubata
Tetranychus cinnabarinus
Damon annulatipes
Plectreurys tristis
Loxosceles deserta
Loxosceles laeta
Argiope aurantia
Micrathena sagittata
Latrodectus mactans
Menemerus bivittatus
Zygoballus rufipes
Marpissa muscosa
Pardosa lugubris
Agelenopsis aperta
Zosis geniculata
Karoophasma biedouwense
Gromphadorhina portentosa
Rhyparobia maderae
Nauphoeta cinerea
Eublaberus posticus
Blaberus discoidalis
Blaberus giganteus
Coptotermes formosanus
Heterotermes tenuior
Reticulitermes flavipes
Nasutitermes longinasus
Hospitalitermes hospitalis
Havilanditermes atripennis
Microcerotermes serrula
Microcerotermes dubius
Termes borneensis
Globitermes globosus
Prohamitermes mirabilis
Dicuspiditermes santschii
Dicuspiditermes nemorosus
Pericapritermes nitobei
Homallotermes eleanorae
Macrotermes gilvus
Macrotermes malaccensis
Macrotermes carbonarius
Schedorhinotermes sarawakensis
Periplaneta americana
Blatta orientalis
Melanoplus bivittatus
Locusta migratoria
Trimerotropis pallidipennis
Trimerotropis saxatilis
Encoptolophus sordidus
Tanaocerus koebeli
Oecanthus quadripunctatus
Acheta domesticus
Teleogryllus commodus
Requena verticalis
Conocephalus fasciatus
Dasymutilla gloriosa
Solenopsis invicta
Atta laevigata
Tetramorium caespitum
Aphaenogaster cockerelli
Myrmica alaskensis
Myrmica rubra
Pogonomyrmex rugosus
Pogonomyrmex maricopa
Camponotus vafer
Camponotus laevigatus
Camponotus vicinus
Camponotus sp.
Cataglyphis bicolor
Lasius niger
Eciton hamatum
Paraponera clavata
Leptogenys attenuata
Apis mellifera
Bombus terrestris
Sphaeroderus stenostomus
Cicindela repanda
Cicindela longilabris
Amara quenseli
Sphaeridium lunatum
Hylobius abietis
Ips acuminatus
Hypera postica
